"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA002402354","2012-07-27","68.7833","-81.25","9.0","HALL BEACH, NU CA","   25",",,C","   96",",,C","   41",",,C",,,,,,
"CA002402354","2012-07-28","68.7833","-81.25","9.0","HALL BEACH, NU CA","    3",",,C","   84",",,C","   10",",,C",,,,,,
"CA002402354","2012-07-29","68.7833","-81.25","9.0","HALL BEACH, NU CA","   59",",,C","   63",",,C","    5",",,C",,,,,,
"CA002402354","2012-07-30","68.7833","-81.25","9.0","HALL BEACH, NU CA","   29",",,C","   62",",,C","    5",",,C",,,,,,
"CA002402354","2012-07-31","68.7833","-81.25","9.0","HALL BEACH, NU CA","    0",",,C","   69",",,C","    2",",,C",,,,,,
"CA002402354","2012-08-01","68.7833","-81.25","9.0","HALL BEACH, NU CA","   10",",,C","   56",",,C","   23",",,C",,,,,,
"CA002402354","2012-08-02","68.7833","-81.25","9.0","HALL BEACH, NU CA","    0",",,C","  129",",,C","   42",",,C",,,,,,
"CA002402354","2012-08-03","68.7833","-81.25","9.0","HALL BEACH, NU CA","    6",",,C","   75",",,C","   20",",,C",,,,,,
"CA002402354","2012-08-04","68.7833","-81.25","9.0","HALL BEACH, NU CA","    5",",,C","   63",",,C","   18",",,C",,,,,,
"CA002402354","2012-08-05","68.7833","-81.25","9.0","HALL BEACH, NU CA","    0",",,C","  119",",,C","   40",",,C",,,,,,
"CA002402354","2012-08-06","68.7833","-81.25","9.0","HALL BEACH, NU CA","    0",",,C","   90",",,C","   38",",,C",,,,,,
"CA002402354","2012-08-07","68.7833","-81.25","9.0","HALL BEACH, NU CA","    8",",,C","   74",",,C","   20",",,C",,,,,,
"CA002402354","2012-08-08","68.7833","-81.25","9.0","HALL BEACH, NU CA","   31",",,C","  103",",,C","   60",",,C",,,,,,
"CA002402354","2012-08-09","68.7833","-81.25","9.0","HALL BEACH, NU CA","    0",",,C","  104",",,C","   53",",,C",,,,,,
"CA002402354","2012-08-10","68.7833","-81.25","9.0","HALL BEACH, NU CA","    0",",,C","  111",",,C","   38",",,C",,,,,,
"CA002402354","2012-08-11","68.7833","-81.25","9.0","HALL BEACH, NU CA","  179",",,C","   73",",,C","   22",",,C",,,,,,
"CA002402354","2012-08-12","68.7833","-81.25","9.0","HALL BEACH, NU CA","   13",",,C","   96",",,C","   27",",,C",,,,,,
"CA002402354","2012-08-13","68.7833","-81.25","9.0","HALL BEACH, NU CA","   16",",,C","   71",",,C","   16",",,C",,,,,,
"CA002402354","2012-08-14","68.7833","-81.25","9.0","HALL BEACH, NU CA","    0",",,C","   51",",,C","   11",",,C",,,,,,
"CA002402354","2012-08-15","68.7833","-81.25","9.0","HALL BEACH, NU CA","   15",",,C","   54",",,C","   24",",,C",,,,,,
"CA002402354","2012-08-16","68.7833","-81.25","9.0","HALL BEACH, NU CA","   46",",,C","   62",",,C","    2",",,C",,,,,,
"CA002402354","2012-08-17","68.7833","-81.25","9.0","HALL BEACH, NU CA","    0",",,C","   42",",,C","   -5",",,C",,,,,,
