"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA003012228","1984-11-01","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   60",",,C"," -150",",,C"," -305",",,C"
"CA003012228","1984-11-02","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   10",",,C","   10",",,C","   60",",,C"," -140",",,C"," -190",",,C"
"CA003012228","1984-11-03","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   40",",,C","   40",",,C","   70",",,C"," -105",",,C"," -150",",,C"
"CA003012228","1984-11-04","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   10",",,C","   10",",,C","   90",",,C","  -65",",,C"," -170",",,C"
"CA003012228","1984-11-05","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   40",",,C","   20",",,C"," -100",",,C"
"CA003012228","1984-11-06","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   40",",,C","  -30",",,C"," -140",",,C"
"CA003012228","1984-11-07","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   40",",,C","  -20",",,C"," -120",",,C"
"CA003012228","1984-11-08","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   40",",,C","  -25",",,C"," -135",",,C"
"CA003012228","1984-11-09","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   40",",,C","  -45",",,C"," -160",",,C"
"CA003012228","1984-11-10","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   40",",,C","  -55",",,C"," -190",",,C"
"CA003012228","1984-11-11","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   40",",,C","  -85",",,C"," -145",",,C"
"CA003012228","1984-11-12","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   20",",,C","   20",",,C","   60",",,C","  -90",",,C"," -125",",,C"
"CA003012228","1984-11-13","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   10",",,C","   10",",,C","   70",",,C"," -140",",,C"," -200",",,C"
"CA003012228","1984-11-14","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   20",",,C","   20",",,C","   90",",,C","  -90",",,C"," -210",",,C"
"CA003012228","1984-11-15","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   90",",,C","  -30",",,C"," -240",",,C"
"CA003012228","1984-11-16","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   30",",,C","   30",",,C","   90",",,C"," -100",",,C"," -180",",,C"
"CA003012228","1984-11-17","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   90",",,C","  -95",",,C"," -170",",,C"
"CA003012228","1984-11-18","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   20",",,C","   20",",,C","   90",",,C","  -80",",,C"," -185",",,C"
"CA003012228","1984-11-19","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","  110",",,C","  -55",",,C","  -95",",,C"
"CA003012228","1984-11-20","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","  110",",,C","   10",",,C"," -145",",,C"
"CA003012228","1984-11-21","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","  110",",,C","  -10",",,C"," -155",",,C"
"CA003012228","1984-11-22","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   20",",,C","   20",",,C","  130",",,C","   73",",,C"," -132",",,C"
"CA003012228","1984-11-23","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","  130",",,C","   65",",,C","  -27",",,C"
"CA003012228","1984-11-24","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   80",",,C","   32",",,C","  -22",",,C"
"CA003012228","1984-11-25","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   40",",,C","  -60",",,C"," -150",",,C"
"CA003012228","1984-11-26","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   30",",,C","  -25",",,C"," -175",",,C"
"CA003012228","1984-11-27","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   30",",,C","  -35",",,C"," -175",",,C"
"CA003012228","1984-11-28","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   20",",,C","   20",",,C","   10",",,C","  -60",",,C","  -90",",,C"
"CA003012228","1984-11-29","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   10",",,C","   10",",,C","   30",",,C","  -64",",,C"," -142",",,C"
"CA003012228","1984-11-30","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   10",",,C","   10",",,C","   50",",,C","  -98",",,C"," -122",",,C"
"CA003012228","1984-12-01","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   20",",,C","   20",",,C","   50",",,C"," -103",",,C"," -135",",,C"
"CA003012228","1984-12-02","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   70",",,C"," -100",",,C"," -257",",,C"
"CA003012228","1984-12-03","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   50",",,C","  -40",",,C"," -180",",,C"
"CA003012228","1984-12-04","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   40",",,C","  -40",",,C"," -160",",,C"
"CA003012228","1984-12-05","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   30",",,C","   63",",,C"," -152",",,C"
"CA003012228","1984-12-06","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   10",",,C","   80",",,C"," -110",",,C"
"CA003012228","1984-12-07","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   10",",,C","   54",",,C","   24",",,C"
"CA003012228","1984-12-08","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   10",",,C","   24",",,C","  -10",",,C"
"CA003012228","1984-12-09","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   10",",,C","    5",",,C","  -52",",,C"
"CA003012228","1984-12-10","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   10",",,C","  -15",",,C"," -175",",,C"
"CA003012228","1984-12-11","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   10",",,C"," -144",",,C"," -233",",,C"
"CA003012228","1984-12-12","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   10",",,C"," -108",",,C"," -197",",,C"
"CA003012228","1984-12-13","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   10",",,C","  -44",",,C"," -155",",,C"
"CA003012228","1984-12-14","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   30",",,C","   30",",,C","   10",",,C","    0",",,C"," -104",",,C"
"CA003012228","1984-12-15","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   20",",,C","   20",",,C","   50",",,C"," -224",",,C"," -247",",,C"
"CA003012228","1984-12-16","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   50",",,C"," -248",",,C"," -273",",,C"
"CA003012228","1984-12-17","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   20",",,C","   20",",,C","   50",",,C"," -149",",,C"," -317",",,C"
"CA003012228","1984-12-18","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   70",",,C","  -23",",,C"," -270",",,C"
"CA003012228","1984-12-19","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   50",",,C","   11",",,C","  -57",",,C"
"CA003012228","1984-12-20","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   30",",,C","   30",",,C","   60",",,C","   -2",",,C"," -140",",,C"
"CA003012228","1984-12-21","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   80",",,C"," -182",",,C"," -274",",,C"
"CA003012228","1984-12-22","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   30",",,C","   30",",,C","  110",",,C"," -202",",,C"," -250",",,C"
"CA003012228","1984-12-23","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","  110",",,C"," -200",",,C"," -348",",,C"
"CA003012228","1984-12-24","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   40",",,C","   40",",,C","  120",",,C"," -178",",,C"," -310",",,C"
"CA003012228","1984-12-25","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   50",",,C","   50",",,C","  170",",,C"," -226",",,C"," -256",",,C"
"CA003012228","1984-12-26","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   10",",,C","   10",",,C","  200",",,C"," -251",",,C"," -334",",,C"
"CA003012228","1984-12-27","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   10",",,C","   10",",,C","  210",",,C"," -273",",,C"," -345",",,C"
"CA003012228","1984-12-28","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   20",",,C","   20",",,C","  230",",,C"," -290",",,C"," -300",",,C"
"CA003012228","1984-12-29","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","  240",",,C"," -255",",,C"," -342",",,C"
"CA003012228","1984-12-30","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","  240",",,C"," -194",",,C"," -357",",,C"
"CA003012228","1984-12-31","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","  240",",,C"," -115",",,C"," -325",",,C"
"CA003012228","1985-01-01","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","  220",",,C","   34",",,C"," -215",",,C"
"CA003012228","1985-01-02","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","  210",",,C","   93",",,C","  -50",",,C"
"CA003012228","1985-01-03","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","  150",",,C","  100",",,C","   35",",,C"
"CA003012228","1985-01-04","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","  120",",,C","   50",",,C","  -89",",,C"
"CA003012228","1985-01-05","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","  100",",,C","   57",",,C","  -55",",,C"
"CA003012228","1985-01-06","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   60",",,C","   29",",,C","  -16",",,C"
"CA003012228","1985-01-07","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   60",",,C"," -101",",,C"," -181",",,C"
"CA003012228","1985-01-08","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   10",",,C","   10",",,C","   70",",,C"," -126",",,C"," -165",",,C"
"CA003012228","1985-01-09","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   70",",,C"," -155",",,C"," -213",",,C"
"CA003012228","1985-01-10","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   70",",,C"," -165",",,C"," -222",",,C"
"CA003012228","1985-01-11","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   50",",,C","  -47",",,C"," -230",",,C"
"CA003012228","1985-01-12","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   40",",,C","   76",",,C"," -134",",,C"
"CA003012228","1985-01-13","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   40",",,C","    1",",,C","  -38",",,C"
"CA003012228","1985-01-14","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   20",",,C","   20",",,C","   30",",,C","   -9",",,C","  -91",",,C"
"CA003012228","1985-01-15","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   50",",,C","   35",",,C","  -42",",,C"
"CA003012228","1985-01-16","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   40",",,C","   60",",,C","  -51",",,C"
"CA003012228","1985-01-17","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","   20",",,C","   20",",,C","   40",",,C","   39",",,C","  -43",",,C"
"CA003012228","1985-01-18","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0","T,,C","    0","T,,C","   60",",,C","  -97",",,C"," -142",",,C"
"CA003012228","1985-01-19","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   40",",,C"," -214",",,C"," -225",",,C"
"CA003012228","1985-01-20","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   30",",,C"," -115",",,C"," -255",",,C"
"CA003012228","1985-01-21","53.6667","-113.85","688.0","EDMONTON VILLENEUVE A, AB CA","    0",",,C","    0",",,C","   30",",,C","  -50",",,C"," -182",",,C"
