"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"CA003022154","1982-05-13","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C",,,,
"CA003022154","1982-05-14","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-05-15","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-05-16","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-05-17","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-05-18","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","  112",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-05-19","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0","T,,C","    0",",,C","    0",",,C",,
"CA003022154","1982-05-20","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-05-21","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-05-22","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","   14",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-05-23","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-05-24","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-05-25","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-05-26","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","  184",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-05-27","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0","T,,C","    0",",,C","    0",",,C",,
"CA003022154","1982-05-28","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-05-29","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    6",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-05-30","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-05-31","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-06-01","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-06-02","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-06-03","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-06-04","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0","T,,C","    0",",,C","    0",",,C",,
"CA003022154","1982-06-05","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-06-06","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-06-07","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-06-08","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","   24",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-06-09","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-06-10","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-06-11","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-06-12","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
"CA003022154","1982-06-13","51.2333","-111.35","792.0","EAST BERRY CREEK, AB CA","    0",",,C","    0",",,C","    0",",,C",,
