"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA003060280","1950-10-23","56.45","-111.05","488.0","ANZAC, AB CA","    0",",,C","    0",",,C","   11",",,C","  -17",",,C"
"CA003060280","1950-10-24","56.45","-111.05","488.0","ANZAC, AB CA","    0",",,C","    0",",,C","   17",",,C","  -44",",,C"
"CA003060280","1950-10-25","56.45","-111.05","488.0","ANZAC, AB CA","    0",",,C","    0",",,C","   78",",,C","  -50",",,C"
"CA003060280","1950-10-26","56.45","-111.05","488.0","ANZAC, AB CA","    0",",,C","    0",",,C","   72",",,C","  -11",",,C"
"CA003060280","1950-10-27","56.45","-111.05","488.0","ANZAC, AB CA","   20",",,C","   20",",,C","   17",",,C","  -44",",,C"
"CA003060280","1950-10-28","56.45","-111.05","488.0","ANZAC, AB CA","    5",",,C","    5",",,C","  -11",",,C","  -67",",,C"
"CA003060280","1950-10-29","56.45","-111.05","488.0","ANZAC, AB CA","    0",",,C","    0",",,C","  -17",",,C","  -72",",,C"
"CA003060280","1950-10-30","56.45","-111.05","488.0","ANZAC, AB CA","    0",",,C","    0",",,C","  -11",",,C","  -44",",,C"
"CA003060280","1950-10-31","56.45","-111.05","488.0","ANZAC, AB CA","    0",",,C","    0",",,C","  -17",",,C","  -67",",,C"
"CA003060280","1950-11-01","56.45","-111.05","488.0","ANZAC, AB CA","    0",",,C","    0",",,C","    0",",,C","  -56",",,C"
"CA003060280","1950-11-02","56.45","-111.05","488.0","ANZAC, AB CA","    0",",,C","    0",",,C","   39",",,C","  -72",",,C"
"CA003060280","1950-11-03","56.45","-111.05","488.0","ANZAC, AB CA","    3",",,C","    0",",,C","   89",",,C","  -44",",,C"
"CA003060280","1950-11-04","56.45","-111.05","488.0","ANZAC, AB CA","    3",",,C","    3",",,C","   61",",,C","  -17",",,C"
"CA003060280","1950-11-05","56.45","-111.05","488.0","ANZAC, AB CA","   25",",,C","   25",",,C","  -56",",,C","  -61",",,C"
"CA003060280","1950-11-06","56.45","-111.05","488.0","ANZAC, AB CA","   41",",,C","   41",",,C","  -72",",,C"," -133",",,C"
"CA003060280","1950-11-07","56.45","-111.05","488.0","ANZAC, AB CA","   51",",,C","   51",",,C"," -117",",,C"," -128",",,C"
"CA003060280","1950-11-08","56.45","-111.05","488.0","ANZAC, AB CA","   15",",,C","   15",",,C"," -111",",,C"," -167",",,C"
"CA003060280","1950-11-09","56.45","-111.05","488.0","ANZAC, AB CA","    3",",,C","    3",",,C","  -44",",,C"," -228",",,C"
"CA003060280","1950-11-10","56.45","-111.05","488.0","ANZAC, AB CA","    3",",,C","    3",",,C","  -61",",,C"," -122",",,C"
"CA003060280","1950-11-11","56.45","-111.05","488.0","ANZAC, AB CA","   13",",,C","   13",",,C","  -94",",,C"," -133",",,C"
"CA003060280","1950-11-12","56.45","-111.05","488.0","ANZAC, AB CA","   30",",,C","   30",",,C","   11",",,C"," -156",",,C"
"CA003060280","1950-11-13","56.45","-111.05","488.0","ANZAC, AB CA","   81",",,C","   81",",,C","  -33",",,C","  -94",",,C"
"CA003060280","1950-11-14","56.45","-111.05","488.0","ANZAC, AB CA","   46",",,C","   46",",,C"," -111",",,C"," -139",",,C"
"CA003060280","1950-11-15","56.45","-111.05","488.0","ANZAC, AB CA","    0",",,C","    0",",,C"," -150",",,C"," -228",",,C"
"CA003060280","1950-11-16","56.45","-111.05","488.0","ANZAC, AB CA","  124",",,C","  124",",,C"," -156",",,C"," -200",",,C"
"CA003060280","1950-11-17","56.45","-111.05","488.0","ANZAC, AB CA","   15",",,C","   15",",,C"," -167",",,C"," -189",",,C"
"CA003060280","1950-11-18","56.45","-111.05","488.0","ANZAC, AB CA","    0",",,C","    0",",,C"," -172",",,C"," -239",",,C"
"CA003060280","1950-11-19","56.45","-111.05","488.0","ANZAC, AB CA","    0",",,C","    0",",,C"," -167",",,C"," -239",",,C"
"CA003060280","1950-11-20","56.45","-111.05","488.0","ANZAC, AB CA","    5",",,C","    5",",,C"," -233",",,C"," -328",",,C"
