"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES"
"CA004010358","1973-05-22","50.9333","-105.7","579.0","AYLESBURY, SK CA","    8",",,C","    0",",,C","  233",",,C",,,,,,
"CA004010358","1973-05-23","50.9333","-105.7","579.0","AYLESBURY, SK CA","    0",",,C","    0",",,C","  200",",,C","   39",",,C",,,,
"CA004010358","1973-05-24","50.9333","-105.7","579.0","AYLESBURY, SK CA","    0",",,C","    0",",,C","  206",",,C","   50",",,C",,,,
"CA004010358","1973-05-25","50.9333","-105.7","579.0","AYLESBURY, SK CA","   25",",,C","    0",",,C","  156",",,C","   44",",,C",,,,
"CA004010358","1973-05-26","50.9333","-105.7","579.0","AYLESBURY, SK CA","   10",",,C","    0",",,C","  156",",,C","   28",",,C",,,,
"CA004010358","1973-05-27","50.9333","-105.7","579.0","AYLESBURY, SK CA","    0",",,C","    0",",,C","  228",",,C","   89",",,C",,,,
"CA004010358","1973-05-28","50.9333","-105.7","579.0","AYLESBURY, SK CA","    0",",,C","    0",",,C","  167",",,C","  100",",,C",,,,
"CA004010358","1973-05-29","50.9333","-105.7","579.0","AYLESBURY, SK CA","    0",",,C","    0",",,C","  239",",,C","   78",",,C",,,,
"CA004010358","1973-05-30","50.9333","-105.7","579.0","AYLESBURY, SK CA","    0",",,C","    0",",,C","  239",",,C","  111",",,C",,,,
"CA004010358","1973-05-31","50.9333","-105.7","579.0","AYLESBURY, SK CA","    8",",,C","    0",",,C","  267",",,C","  111",",,C",,,,
"CA004010358","1973-06-01","50.9333","-105.7","579.0","AYLESBURY, SK CA","   84",",,C","    0",",,C","  139",",,C","  117",",,C",,,,
"CA004010358","1973-06-02","50.9333","-105.7","579.0","AYLESBURY, SK CA","  137",",,C","    0",",,C","  117",",,C","   78",",,C",,,,
"CA004010358","1973-06-03","50.9333","-105.7","579.0","AYLESBURY, SK CA","  676",",,C","    0",",,C","   94",",,C","   72",",,C",,,,
"CA004010358","1973-06-04","50.9333","-105.7","579.0","AYLESBURY, SK CA","   15",",,C","    0",",,C","  150",",,C","   67",",,C",,,,
"CA004010358","1973-06-05","50.9333","-105.7","579.0","AYLESBURY, SK CA","    0",",,C","    0",",,C","  222",",,C","   72",",,C",,,,
"CA004010358","1973-06-06","50.9333","-105.7","579.0","AYLESBURY, SK CA","   13",",,C","    0",",,C","  178",",,C","   78",",,C",,,,
"CA004010358","1973-06-07","50.9333","-105.7","579.0","AYLESBURY, SK CA","    0",",,C","    0",",,C","  233",",,C","   89",",,C",,,,
"CA004010358","1973-06-08","50.9333","-105.7","579.0","AYLESBURY, SK CA","    5",",,C","    0",",,C","  250",",,C","   72",",,C",,,,
"CA004010358","1973-06-09","50.9333","-105.7","579.0","AYLESBURY, SK CA","    0",",,C","    0",",,C","  211",",,C","  122",",,C",,,,
"CA004010358","1973-06-10","50.9333","-105.7","579.0","AYLESBURY, SK CA","    0",",,C","    0",",,C","  211",",,C","   78",",,C",,,,
