"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES"
"CA004042884","1983-06-01","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","   44",",,C","    0",",,C",,,"  135",",,C","   90",",,C",,,,
"CA004042884","1983-06-02","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"   90",",,C",,,,,,
"CA004042884","1983-06-03","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"   95",",,C","   35",",,C",,,,
"CA004042884","1983-06-04","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"  140",",,C","   -5",",,C",,,,
"CA004042884","1983-06-05","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"  190",",,C","   -5",",,C",,,,
"CA004042884","1983-06-06","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","   14",",,C","    0",",,C",,,"  235",",,C","   15",",,C",,,,
"CA004042884","1983-06-07","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"  195",",,C","   95",",,C",,,,
"CA004042884","1983-06-08","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"  235",",,C","   45",",,C",,,,
"CA004042884","1983-06-09","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    8",",,C","    0",",,C",,,"  265",",,C","  130",",,C",,,,
"CA004042884","1983-06-10","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"  275",",,C","   95",",,C",,,,
"CA004042884","1983-06-11","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"  195",",,C","  130",",,C",,,,
"CA004042884","1983-06-12","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"  165",",,C","   95",",,C",,,,
"CA004042884","1983-06-13","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","   68",",,C","    0",",,C",,,"  170",",,C","   40",",,C",,,,
"CA004042884","1983-06-14","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"  200",",,C","   90",",,C",,,,
"CA004042884","1983-06-15","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"  215",",,C","   60",",,C",,,,
"CA004042884","1983-06-16","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"  270",",,C","   90",",,C",,,,
"CA004042884","1983-06-17","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"  265",",,C","  110",",,C",,,,
"CA004042884","1983-06-18","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","   84",",,C","    0",",,C",,,"  240",",,C","  140",",,C",,,,
"CA004042884","1983-06-19","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","   88",",,C","    0",",,C",,,"  170",",,C","   85",",,C",,,,
"CA004042884","1983-06-20","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","   14",",,C","    0",",,C",,,"  160",",,C","   69",",,C",,,,
"CA004042884","1983-06-21","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    8",",,C","    0",",,C",,,"  200",",,C","  100",",,C",,,,
"CA004042884","1983-06-22","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    4",",,C","    0",",,C",,,"  185",",,C","   95",",,C",,,,
"CA004042884","1983-06-23","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","   40",",,C","    0",",,C",,,"  185",",,C","   50",",,C",,,,
"CA004042884","1983-06-24","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","  153",",,C","    0",",,C",,,"  195",",,C","  120",",,C",,,,
"CA004042884","1983-06-25","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","   60",",,C","    0",",,C",,,"  170",",,C","  110",",,C",,,,
"CA004042884","1983-06-26","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    2",",,C","    0",",,C",,,"  130",",,C","   70",",,C",,,,
"CA004042884","1983-06-27","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0","T,,C","    0",",,C",,,"  175",",,C","   50",",,C",,,,
"CA004042884","1983-06-28","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0","T,,C","    0",",,C",,,"  220",",,C","  115",",,C",,,,
"CA004042884","1983-06-29","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"  235",",,C","  120",",,C",,,,
"CA004042884","1983-06-30","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","   64",",,C","    0",",,C",,,"  193",",,C","  135",",,C",,,,
"CA004042884","1983-07-01","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","  490",",,C","    0",",,C",,,"  205",",,C","  100",",,C",,,,
"CA004042884","1983-07-02","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","  116",",,C","    0",",,C",,,"  200",",,C","  100",",,C",,,,
"CA004042884","1983-07-03","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","   28",",,C","    0",",,C",,,"  225",",,C","  130",",,C",,,,
"CA004042884","1983-07-04","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","  120",",,C","    0",",,C",,,"  180",",,C","   85",",,C",,,,
"CA004042884","1983-07-05","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","   14",",,C","    0",",,C",,,"  240",",,C","  100",",,C",,,,
"CA004042884","1983-07-06","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"  275",",,C","  115",",,C",,,,
"CA004042884","1983-07-07","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","   68",",,C","    0",",,C",,,"  330",",,C","  150",",,C",,,,
"CA004042884","1983-07-08","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    8",",,C","    0",",,C",,,"  270",",,C","  145",",,C",,,,
"CA004042884","1983-07-09","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    2",",,C","    0",",,C",,,"  215",",,C","  180",",,C",,,,
"CA004042884","1983-07-10","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"  170",",,C","  115",",,C",,,,
"CA004042884","1983-07-11","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"  230",",,C","  115",",,C",,,,
"CA004042884","1983-07-12","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    8",",,C","    0",",,C",,,"  235",",,C","  110",",,C",,,,
"CA004042884","1983-07-13","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","   16",",,C","    0",",,C",,,"  235",",,C","   80",",,C",,,,
"CA004042884","1983-07-14","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","   36",",,C","    0",",,C",,,"  235",",,C","  155",",,C",,,,
"CA004042884","1983-07-15","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","    0",",,C","    0",",,C",,,"  205",",,C","   80",",,C",,,,
"CA004042884","1983-07-16","53.4167","-108.1333","690.0","GLASLYN 2, SK CA","   16",",,C","    0",",,C",,,"  175",",,C","   65",",,C",,,,
