"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1NMSF0052","2013-01-16","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N","   51",",,N",,
"US1NMSF0052","2013-01-17","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N","   25",",,N",,
"US1NMSF0052","2013-01-18","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N","   13",",,N",,
"US1NMSF0052","2013-01-19","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N","    0",",,N",,
"US1NMSF0052","2013-01-20","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-01-21","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-01-22","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-01-23","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-01-24","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-01-25","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-01-26","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-01-27","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","   30",",,N",,,,,,
"US1NMSF0052","2013-01-28","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-01-29","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","   66",",,N","   46",",,N","   64",",,N",,
"US1NMSF0052","2013-01-30","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","   15",",,N","   20",",,N","   64",",,N",,
"US1NMSF0052","2013-02-01","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-02","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-03","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-04","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-05","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-06","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-07","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-08","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-09","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-10","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    3",",,N","    3",",,N",,,"    3",",,N"
"US1NMSF0052","2013-02-11","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-12","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-13","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-14","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-15","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-16","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-17","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-18","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-19","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-20","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-21","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","   30",",,N","   46",",,N","   51",",,N",,
"US1NMSF0052","2013-02-22","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-23","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-24","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N",,,,
"US1NMSF0052","2013-02-25","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","   64",",,N","   74",",,N","   76",",,N",,
"US1NMSF0052","2013-02-26","35.090167","-106.211958","2013.8","EDGEWOOD 2.1 WNW, NM US","    0",",,N","    0",",,N","   38",",,N",,
