"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00044979","1968-07-02","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  344",",,0","  156",",,0",,,,,,,"  163",",,0,1000",,,,,,,"  139",",,0","  317",",,0","  206",",,0,1000","  188",",,0"
"USC00044979","1968-07-03","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  317",",,0","  133",",,0",,,,,,,"  142",",,0,1000",,,,,,,"  139",",,0","  294",",,0","  217",",,0,1000","  201",",,0"
"USC00044979","1968-07-04","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  344",",,0","  194",",,0",,,,,,,"  157",",,0,1000",,,,,,,"  156",",,0","  322",",,0","  267",",,0,1000","  130",",,0"
"USC00044979","1968-07-05","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  367",",,0","  217",",,0",,,,,,,"  163",",,0,1000",,,,,,,"  167",",,0","  344",",,0","  317",",,0,1000","  138",",,0"
"USC00044979","1968-07-06","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  400",",,0","  228",",,0",,,,,,,"  173",",,0,1000",,,,,,,"  194",",,0","  350",",,0","  256",",,0,1000","  169",",,0"
"USC00044979","1968-07-07","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  411",",,0","  194",",,0",,,,,,,"  155",",,0,1000",,,,,,,"  183",",,0","  350",",,0","  250",",,0,1000","  167",",,0"
"USC00044979","1968-07-08","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  344",",,0","  206",",,0",,,,,,,"  145",",,0,1000",,,,,,,"  167",",,0","  317",",,0","  222",",,0,1000","  156",",,0"
"USC00044979","1968-07-09","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  344",",,0","  172",",,0",,,,,,,"  140",",,0,1000",,,,,,,"  156",",,0","  322",",,0","  250",",,0,1000","  109",",,0"
"USC00044979","1968-07-10","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  344",",,0","  194",",,0",,,,,,,"  147",",,0,1000",,,,,,,"  194",",,0","  317",",,0","  250",",,0,1000","    0",",,0"
"USC00044979","1968-07-11","36.78333","-120.8","207.0","LITTLE PANOCHE DET D, CA US","    0",",,0,1000","    0",",,0","    0",",,0","  356",",,0","  194",",,0",,,,,,,"  157",",,0,1000",,,,,,,"  172",",,0","  333",",,0","  289",",,0,1000","  274",",,0"
