"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00242313","1949-09-01","44.5","-112.91667","2379.0","DELL 19 SW, MT US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00242313","1949-09-02","44.5","-112.91667","2379.0","DELL 19 SW, MT US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00242313","1949-09-03","44.5","-112.91667","2379.0","DELL 19 SW, MT US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00242313","1949-09-04","44.5","-112.91667","2379.0","DELL 19 SW, MT US","    0","T,,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00242313","1949-09-05","44.5","-112.91667","2379.0","DELL 19 SW, MT US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00242313","1949-09-06","44.5","-112.91667","2379.0","DELL 19 SW, MT US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00242313","1949-09-07","44.5","-112.91667","2379.0","DELL 19 SW, MT US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00242313","1949-09-08","44.5","-112.91667","2379.0","DELL 19 SW, MT US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00242313","1949-09-09","44.5","-112.91667","2379.0","DELL 19 SW, MT US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00242313","1949-09-10","44.5","-112.91667","2379.0","DELL 19 SW, MT US","    0","T,,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00242313","1949-09-11","44.5","-112.91667","2379.0","DELL 19 SW, MT US","    8",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00242313","1949-09-12","44.5","-112.91667","2379.0","DELL 19 SW, MT US","   10",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00242313","1949-09-13","44.5","-112.91667","2379.0","DELL 19 SW, MT US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00242313","1949-09-14","44.5","-112.91667","2379.0","DELL 19 SW, MT US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00242313","1949-09-15","44.5","-112.91667","2379.0","DELL 19 SW, MT US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00242313","1949-09-16","44.5","-112.91667","2379.0","DELL 19 SW, MT US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00242313","1949-09-17","44.5","-112.91667","2379.0","DELL 19 SW, MT US","    5",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
"USC00242313","1949-09-18","44.5","-112.91667","2379.0","DELL 19 SW, MT US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,
