"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00269137","1941-11-01","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  144",",,6","   -6",",,6","  133",",,6",,,,,,,,
"USC00269137","1941-11-02","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  150",",,6","  -11",",,6","  128",",,6",,,,,,,,
"USC00269137","1941-11-03","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  156",",,6","  -11",",,6","  133",",,6",,,,,,,,
"USC00269137","1941-11-04","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  189",",,6","   33",",,6","  144",",,6",,,,,,,,
"USC00269137","1941-11-05","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  183",",,6","   44",",,6","  167",",,6",,,,,,,,
"USC00269137","1941-11-06","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  172",",,6","   56",",,6","  156",",,6",,,,,,,,
"USC00269137","1941-11-07","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  183",",,6","   50",",,6","  133",",,6",,,,,,,,
"USC00269137","1941-11-08","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  189",",,6","   61",",,6","  122",",,6",,,,,,,,
"USC00269137","1941-11-09","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  194",",,6","   50",",,6","  117",",,6",,,,,,,,
"USC00269137","1941-11-10","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  178",",,6","   22",",,6","  167",",,6",,,,,,,,
"USC00269137","1941-11-11","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  183",",,6","   17",",,6","  156",",,6",,,,,,,,
"USC00269137","1941-11-12","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  178",",,6","   17",",,6","  161",",,6",,,,,,,,
"USC00269137","1941-11-13","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  161",",,6","   11",",,6","  150",",,6",,,,,,,,
"USC00269137","1941-11-14","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  156",",,6","  -11",",,6","  139",",,6",,,,,,,,
"USC00269137","1941-11-15","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  144",",,6","   -6",",,6","  139",",,6",,,,,,,,
"USC00269137","1941-11-16","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  161",",,6","  -11",",,6","  133",",,6",,,,,,,,
"USC00269137","1941-11-17","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","T,,6","    0","T,,6",,,"  133",",,6","  -33",",,6","  -28",",,6",,,,,,,,
"USC00269137","1941-11-18","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   17",",,6","  -94",",,6","  -39",",,6",,,,,,,,
"USC00269137","1941-11-19","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   22",",,6"," -111",",,6","  -11",",,6",,,,,,,,
"USC00269137","1941-11-20","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   28",",,6","  -83",",,6","  -17",",,6",,,,,,,,
"USC00269137","1941-11-21","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   56",",,6","  -94",",,6","   44",",,6",,,,,,,,
"USC00269137","1941-11-22","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   50",",,6","  -56",",,6","   22",",,6",,,,,,,,
"USC00269137","1941-11-23","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   56",",,6","  -44",",,6","    6",",,6",,,,,,,,
"USC00269137","1941-11-24","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   72",",,6","  -22",",,6","   -6",",,6",,,,,,,,
"USC00269137","1941-11-25","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   83",",,6","  -17",",,6","    0",",,6",,,,,,,,
"USC00269137","1941-11-26","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  128",",,6","   -6",",,6","   72",",,6",,,,,,,,
"USC00269137","1941-11-27","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  144",",,6","    6",",,6","   67",",,6",,,,,,,,
"USC00269137","1941-11-28","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  156",",,6","   11",",,6","   72",",,6",,,,,,,,
"USC00269137","1941-11-29","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    8",",,6","    0",",,6",,,"  128",",,6","   17",",,6","  100",",,6",,,,,,,,
"USC00269137","1941-11-30","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","T,,6","    0",",,6",,,"  156",",,6","    0",",,6","  106",",,6",,,,,,,,
"USC00269137","1941-12-01","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  111",",,6","    6",",,6","   83",",,6",,,,,,,,
"USC00269137","1941-12-02","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  117",",,6","   11",",,6","   72",",,6",,,,,,,,
"USC00269137","1941-12-03","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  100",",,6","  -28",",,6","   72",",,6",,,,,,,,
"USC00269137","1941-12-04","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  128",",,6","    6",",,6","   89",",,6",,,,,,,,
"USC00269137","1941-12-05","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   89",",,6","    0",",,6","   67",",,6",,,,,,,,
"USC00269137","1941-12-06","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  111",",,6","  -39",",,6","  100",",,6",,,,,,,,
"USC00269137","1941-12-07","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  111",",,6","  -22",",,6","   89",",,6",,,,,,,,
"USC00269137","1941-12-08","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  128",",,6","  -33",",,6","   89",",,6",,,,,,,,
"USC00269137","1941-12-09","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  133",",,6","  -33",",,6","   22",",,6",,,,,,,,
"USC00269137","1941-12-10","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","T,,6","    0","T,,6",,,"   56",",,6","  -11",",,6","   11",",,6",,,,,,,,
"USC00269137","1941-12-11","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   44",",,6","  -33",",,6","    6",",,6",,,,,,,,
"USC00269137","1941-12-12","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   83",",,6","  -28",",,6","   22",",,6",,,,,,,,
"USC00269137","1941-12-13","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   89",",,6","  -28",",,6","   11",",,6",,,,,,,,
"USC00269137","1941-12-14","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   78",",,6","  -33",",,6","  -11",",,6",,,,,,,,
"USC00269137","1941-12-15","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  111",",,6","  -11",",,6","   39",",,6",,,,,,,,
"USC00269137","1941-12-16","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  100",",,6","  -17",",,6","   50",",,6",,,,,,,,
"USC00269137","1941-12-17","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   61",",,6","  -39",",,6","   44",",,6",,,,,,,,
"USC00269137","1941-12-18","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   94",",,6","  -28",",,6","   39",",,6",,,,,,,,
"USC00269137","1941-12-19","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  117",",,6","  -28",",,6","  106",",,6",,,,,,,,
"USC00269137","1941-12-20","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  111",",,6","   17",",,6","   72",",,6",,,,,,,,
"USC00269137","1941-12-21","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  100",",,6","  -33",",,6","   50",",,6",,,,,,,,
"USC00269137","1941-12-22","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","T,,6","    0","T,,6",,,"   89",",,6","  -56",",,6","   33",",,6",,,,,,,,
"USC00269137","1941-12-23","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","T,,6","    0","T,,6",,,"   44",",,6"," -111",",,6","  -11",",,6",,,,,,,,
"USC00269137","1941-12-24","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","T,,6","    0",",,6",,,"   33",",,6"," -100",",,6","   -6",",,6",,,,,,,,
"USC00269137","1941-12-25","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","T,,6","    0","T,,6",,,"   -6",",,6"," -133",",,6","  -28",",,6",,,,,,,,
"USC00269137","1941-12-26","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","   51",",,6","  102",",,6","  102",",,6","   44",",,6"," -122",",,6","  -67",",,6",,,,,,,,
"USC00269137","1941-12-27","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  -39",",,6"," -167",",,6","  -56",",,6",,,,,,,,
"USC00269137","1941-12-28","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  -11",",,6"," -100",",,6","  -39",",,6",,,,,,,,
"USC00269137","1941-12-29","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   11",",,6","  -61",",,6","  -11",",,6",,,,,,,,
"USC00269137","1941-12-30","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  -11",",,6"," -122",",,6","  -39",",,6",,,,,,,,
"USC00269137","1941-12-31","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  -39",",,6"," -144",",,6","  -61",",,6",,,,,,,,
"USC00269137","1942-01-01","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  -39",",,6"," -167",",,6","  -89",",,6",,,,,,,,
"USC00269137","1942-01-02","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  -33",",,6"," -189",",,6"," -106",",,6",,,,,,,,
"USC00269137","1942-01-03","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"    6",",,6"," -144",",,6","   -6",",,6",,,,,,,,
"USC00269137","1942-01-04","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"    0",",,6"," -161",",,6","  -39",",,6",,,,,,,,
"USC00269137","1942-01-05","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   22",",,6"," -150",",,6","  -44",",,6",,,,,,,,
"USC00269137","1942-01-06","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   50",",,6"," -117",",,6","    0",",,6",,,,,,,,
"USC00269137","1942-01-07","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   61",",,6"," -111",",,6","   11",",,6",,,,,,,,
"USC00269137","1942-01-08","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   83",",,6","  -94",",,6","   56",",,6",,,,,,,,
"USC00269137","1942-01-09","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"   89",",,6"," -100",",,6","   67",",,6",,,,,,,,
"USC00269137","1942-01-10","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  100",",,6","  -72",",,6","   83",",,6",,,,,,,,
"USC00269137","1942-01-11","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  111",",,6","  -28",",,6","   50",",,6",,,,,,,,
"USC00269137","1942-01-12","38.43333","-117.2","1866.9","WILLOW SPRINGS, NV US","    0","P,,6","    0",",,6",,,"  117",",,6","  -33",",,6","   61",",,6",,,,,,,,
