"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00297191","1986-11-06","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0",",,0,","    0","P,,0","    0",",,0",,,,,,,,,"   61",",,0,",,,,,,,,,,,,
"USC00297191","1986-11-07","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","   13",",,0,1800","   38",",,0","   51",",,0","   61",",,0","  -44",",,0",,,,,"   -6",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-11-08","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0",",,0,1800","    0","P,,0","    0","T,,0","   61",",,0","  -83",",,0",,,,,"  -17",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-11-09","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","T,,0","  106",",,0"," -100",",,0",,,,,"   39",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-11-10","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","T,,0","   89",",,0","  -56",",,0",,,,,"  -17",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-11-11","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","T,,0","  139",",,0","  -89",",,0",,,,,"   17",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-11-12","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","T,,0","  144",",,0","  -78",",,0",,,,,"   28",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-11-13","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","T,,0,1800","    0","P,,0","    0","T,,0","  106",",,0","  -39",",,0",,,,,"   39",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-11-14","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0","T,,0","  144",",,0","  -44",",,0",,,,,"   33",",,0,1800",,,,,,,,,,,,
"USC00297191","1986-11-15","34.13333","-108.51667","2334.8","QUEMADO LAKE, NM US","    0","P,,0,1800","    0","P,,0","    0",",,0","  122",",,0","  -33",",,0",,,,,"   56",",,0,1800",,,,,,,,,,,,
