"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WT01","WT01_ATTRIBUTES"
"USC00358343","1909-10-01","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-02","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-03","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-04","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-05","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-06","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-07","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-08","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-09","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-10","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-11","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-12","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-13","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-14","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-15","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-16","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-17","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-18","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-19","45.016667","-119.966667","1176.2","TAMARACK, OR US","   61",",,6",,,,,,
"USC00358343","1909-10-20","45.016667","-119.966667","1176.2","TAMARACK, OR US","   13",",,6",,,,,,
"USC00358343","1909-10-21","45.016667","-119.966667","1176.2","TAMARACK, OR US","   41",",,6",,,,,,
"USC00358343","1909-10-22","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-23","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-24","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-25","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-26","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-27","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-28","45.016667","-119.966667","1176.2","TAMARACK, OR US","   33",",,6",,,,,,
"USC00358343","1909-10-29","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","P,,6",,,,,,
"USC00358343","1909-10-30","45.016667","-119.966667","1176.2","TAMARACK, OR US","   18",",,6",,,,,,
"USC00358343","1909-10-31","45.016667","-119.966667","1176.2","TAMARACK, OR US","  183",",,6",,,,,,
"USC00358343","1909-11-01","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-02","45.016667","-119.966667","1176.2","TAMARACK, OR US","   20",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-03","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-04","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-05","45.016667","-119.966667","1176.2","TAMARACK, OR US","   84",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-06","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-07","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-08","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-09","45.016667","-119.966667","1176.2","TAMARACK, OR US","   43",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-10","45.016667","-119.966667","1176.2","TAMARACK, OR US","   66",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-11","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","T,,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-12","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-13","45.016667","-119.966667","1176.2","TAMARACK, OR US","  130",",,6","  178",",,6","    0",",,6",,
"USC00358343","1909-11-14","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-15","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-16","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-17","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-18","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-19","45.016667","-119.966667","1176.2","TAMARACK, OR US","   36",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-20","45.016667","-119.966667","1176.2","TAMARACK, OR US","  102",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-21","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","T,,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-22","45.016667","-119.966667","1176.2","TAMARACK, OR US","  358",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-23","45.016667","-119.966667","1176.2","TAMARACK, OR US","  254",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-24","45.016667","-119.966667","1176.2","TAMARACK, OR US","   56",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-25","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-26","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-27","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","T,,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-28","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","T,,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-29","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-11-30","45.016667","-119.966667","1176.2","TAMARACK, OR US","   56",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-01","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-02","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-03","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-04","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","T,,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-05","45.016667","-119.966667","1176.2","TAMARACK, OR US","  112",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-06","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","T,,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-07","45.016667","-119.966667","1176.2","TAMARACK, OR US","  183",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-08","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-09","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-10","45.016667","-119.966667","1176.2","TAMARACK, OR US","  102",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-11","45.016667","-119.966667","1176.2","TAMARACK, OR US","   28",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-12","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-13","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-14","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-15","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-16","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-17","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-18","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-19","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0","T,,6","    0",",,6","    0",",,6","    1",",,6"
"USC00358343","1909-12-20","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
"USC00358343","1909-12-21","45.016667","-119.966667","1176.2","TAMARACK, OR US","    0",",,6","    0",",,6","    0",",,6",,
