"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00422252","1974-03-12","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0",,,"  144",",,0","  -33",",,0",,,,,,,,,"  -33",",,0,0800",,,,,,
"USC00422252","1974-03-13","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0",,,"  133",",,0","  -33",",,0",,,,,,,,,"   -6",",,0,0800",,,,,,
"USC00422252","1974-03-14","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0",,,"  144",",,0","   -6",",,0",,,,,,,,,"   11",",,0,0800",,,,,,
"USC00422252","1974-03-15","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0",,,"  144",",,0","   11",",,0",,,,,,,,,"   50",",,0,0800",,,,,,
"USC00422252","1974-03-16","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0",,,"  172",",,0","   11",",,0",,,,,,,,,"   28",",,0,0800",,,,,,
"USC00422252","1974-03-17","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0",,,"  189",",,0","   22",",,0",,,,,,,,,"   39",",,0,0800",,,,,,
"USC00422252","1974-03-18","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0",,,"  200",",,0","    6",",,0",,,,,,,,,"   11",",,0,0800",,,,,,
"USC00422252","1974-03-19","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0",,,"  128",",,0","  -22",",,0",,,,,,,,,"  -17",",,0,0800",,,,,,
"USC00422252","1974-03-20","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0",,,"  106",",,0","  -33",",,0",,,,,,,,,"  -22",",,0,0800",,,,,,
"USC00422252","1974-03-21","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0",,,"   56",",,0","  -39",",,0",,,,,,,,,"  -22",",,0,0800",,,,,,
"USC00422252","1974-03-22","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0",,,"  100",",,0","  -28",",,0",,,,,,,,,"   28",",,0,0800",,,,,,
"USC00422252","1974-03-23","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0",,,"  111",",,0","   11",",,0",,,,,,,,,"   33",",,0,0800",,,,,,
"USC00422252","1974-03-24","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0",,,"  100",",,0","  -78",",,0",,,,,,,,,"    0",",,0,0800",,,,,,
"USC00422252","1974-03-25","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0",,,"  117",",,0","  -22",",,0",,,,,,,,,"   11",",,0,0800",,,,,,
"USC00422252","1974-03-26","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0",,,"  172",",,0","    0",",,0",,,,,,,,,"   28",",,0,0800",,,,,,
"USC00422252","1974-03-27","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0","T,,0,0800","    0",",,0",,,"  150",",,0","   11",",,0",,,,,,,,,"   28",",,0,0800",,,,,,
"USC00422252","1974-03-28","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0",,,"  156",",,0","   -6",",,0",,,,,,,,,"   28",",,0,0800",,,,,,
"USC00422252","1974-03-29","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    8",",,0,0800","    0",",,0",,,"  133",",,0","  -11",",,0",,,,,,,,,"   17",",,0,0800",,,,,,
"USC00422252","1974-03-30","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0",,,"  144",",,0","   17",",,0",,,,,,,,,"   39",",,0,0800",,,,,,
"USC00422252","1974-03-31","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0",,,"  167",",,0","   17",",,0",,,,,,,,,"   33",",,0,0800",,,,,,
"USC00422252","1974-04-01","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","   83",",,0","  -67",",,0",,,,,,,,,"   28",",,0,0800",,,,,,
"USC00422252","1974-04-02","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","   13",",,0,0800","   13",",,0",,,"   78",",,0","  -22",",,0",,,,,,,,,"    0",",,0,0800",,,,,,
"USC00422252","1974-04-03","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","   78",",,0","  -22",",,0",,,,,,,,,"  -22",",,0,0800",,,,,,
"USC00422252","1974-04-04","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","   83",",,0","  -39",",,0",,,,,,,,,"   -6",",,0,0800",,,,,,
"USC00422252","1974-04-05","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","   94",",,0","  -44",",,0",,,,,,,,,"   -6",",,0,0800",,,,,,
"USC00422252","1974-04-06","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  122",",,0","  -22",",,0",,,,,,,,,"   11",",,0,0800",,,,,,
"USC00422252","1974-04-07","40.2","-110.38333","1774.9","DUCHESNE AIRPORT, UT US","    0",",,0,0800","    0",",,0","    0",",,0","  128",",,0","  -11",",,0",,,,,,,,,"   33",",,0,0800",,,,,,
