"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00423182","1953-01-01","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-02","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   39",",,0","  -17",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-03","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   94",",,0","  -17",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-04","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   72",",,0","  -39",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-05","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   67",",,0","  -28",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-06","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","   56",",,0","  -11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-07","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US",,,"    0",",,0","    0",",,0","   83",",,0","    6",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-08","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US",,,"    0",",,0","    0",",,0","  122",",,0","   11",",,0","    2",",,0",,,"  152",",,0",,,,,,,,,,,,,,,,
"USC00423182","1953-01-09","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  133",",,0","   17",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-10","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  111",",,0","   17",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-11","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  150",",,0","   11",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00423182","1953-01-12","40.28333","-111.73333","1388.1","GENEVA STEEL, UT US","    0",",,0","    0",",,0","    0",",,0","  167",",,0","   67",",,0",,,,,,,,,,,,,,,,,,,,,,
