"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00506769","1967-11-01","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","   76",",,0","   56",",,0","  -72",",,0",,,,,,,,,,,,,,,"   11",",,0",,
"USC00506769","1967-11-02","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","   76",",,0","   67",",,0","  -11",",,0",,,,,,,,,,,,,,,"   50",",,0",,
"USC00506769","1967-11-03","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0",",,0","  106",",,0",,,,,,,,,,,,,,,,,"   78",",,0",,
"USC00506769","1967-11-04","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0",",,0","  122",",,0","   11",",,0",,,,,,,,,,,,,,,"   22",",,0",,
"USC00506769","1967-11-05","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0",",,0","   33",",,0","  -17",",,0",,,,,,,,,,,,,,,"   -6",",,0",,
"USC00506769","1967-11-06","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0","T,,0","    0","T,,0","    0","T,,0","    0",",,0","  -50",",,0",,,,,,,,,,,,,,,"  -44",",,0",,
"USC00506769","1967-11-07","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0","T,,0","  -39",",,0"," -111",",,0",,,,,,,,,,,,,,,"  -94",",,0",,
"USC00506769","1967-11-08","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0",",,0","  -67",",,0"," -117",",,0",,,,,,,,,,,,,,," -100",",,0",,
"USC00506769","1967-11-09","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0",",,0","  -50",",,0"," -111",",,0",,,,,,,,,,,,,,,"  -50",",,0",,
"USC00506769","1967-11-10","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0",",,0","  -33",",,0"," -111",",,0",,,,,,,,,,,,,,,"  -78",",,0",,
"USC00506769","1967-11-11","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0",",,0","    6",",,0"," -106",",,0",,,,,,,,,,,,,,,"  -72",",,0",,
"USC00506769","1967-11-12","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0",",,0","    0",",,0","  -83",",,0",,,,,,,,,,,,,,,"    6",",,0",,
"USC00506769","1967-11-13","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0",",,0","  128",",,0","    0",",,0",,,,,,,,,,,,,,,"   89",",,0",,
"USC00506769","1967-11-14","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0",",,0","   89",",,0","    0",",,0",,,,,,,,,,,,,,,"    0",",,0",,
"USC00506769","1967-11-15","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0","T,,0","    0","T,,0","    0","T,,0","   28",",,0","    6",",,0",,,,,,,,,,,,,,,"    6",",,0",,
"USC00506769","1967-11-16","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0",",,0","   67",",,0","    0",",,0",,,,,,,,,,,,,,,"   33",",,0",,
"USC00506769","1967-11-17","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0",",,0","   72",",,0",,,,,,,,,,,,,,,,,"   33",",,0",,
"USC00506769","1967-11-18","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0","T,,0","    0","T,,0","    0","T,,0","   67",",,0",,,,,,,,,,,,,,,,,"   44",",,0",,
"USC00506769","1967-11-19","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0","T,,0","   89",",,0","   33",",,0",,,,,,,,,,,,,,,"   56",",,0",,
"USC00506769","1967-11-20","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0",",,0","  117",",,0",,,,,,,,,,,,,,,,,"  106",",,0",,
"USC00506769","1967-11-21","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","  132",",,0","    0",",,0","    0",",,0","  106",",,0","   28",",,0",,,,,,,,,,,,,,,"   39",",,0",,
"USC00506769","1967-11-22","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","   69",",,0","    0",",,0","    0",",,0","   61",",,0","  -22",",,0",,,,,,,,,,,,,,,"   56",",,0",,
"USC00506769","1967-11-23","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","   99",",,0","    0",",,0","    0",",,0","   56",",,0",,,,,,,,,,,,,,,,,"   17",",,0",,
"USC00506769","1967-11-24","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","   61",",,0","  127",",,0","    0",",,0","   22",",,0"," -156",",,0",,,,,,,,,,,,,,," -144",",,0",,
"USC00506769","1967-11-25","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0",",,0"," -117",",,0"," -211",",,0",,,,,,,,,,,,,,," -178",",,0",,
"USC00506769","1967-11-26","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0",",,0"," -128",",,0"," -211",",,0",,,,,,,,,,,,,,," -128",",,0",,
"USC00506769","1967-11-27","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0",",,0","  -78",",,0"," -139",",,0",,,,,,,,,,,,,,,"  -83",",,0",,
"USC00506769","1967-11-28","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0",",,0","  -50",",,0"," -111",",,0",,,,,,,,,,,,,,," -106",",,0",,
"USC00506769","1967-11-29","61.23333","-149.71667","113.1","OIL WELL ROAD E P, AK US","    0",",,0","    0",",,0","    0",",,0","  -33",",,0"," -128",",,0",,,,,,,,,,,,,,," -106",",,0",,
